ID,growing zone,tree name,botanical name,descrip1,descrip2,descrip3,descrip4,descrip5,descrip6,grows in zones,sun preference,soil preference,mature height,mature spread,growth speed,flower color,foliage color,fall color,pollinator friendly,outgoing link,main_tree_image,tree_image_1,tree_image_2,tree_image_3,tree_image_4
1,4,Jane Magnolia,Magnolia x 'Jane',"Beautiful, Fragrant Spring Flowers",Blooms a Bit Later Than Other Magnolias,Reddish-Purple Tulip-Shaped Blooms,Long-Lasting,Attractive Foliage,Hardy & Adaptable,4-8,"Full Sun, Partial Shade",Widely Adaptable,10 - 15 Feet,8 - 10 Feet,Medium,"Pink, White",Green,Orange,Yes,https://www.naturehills.com/magnolia-x-jane,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/jane-magnolia/jane-magnolia-main-wo-border.jpg,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/jane-magnolia/jane-magnolia-side-view-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/jane-magnolia/jane-magnolia-flower-bunch-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/jane-magnolia/jane-magnolia-bloom-600x600.webp,N/A
2,5,Jane Magnolia,Magnolia x 'Jane',"Beautiful, Fragrant Spring Flowers",Blooms a Bit Later Than Other Magnolias,Reddish-Purple Tulip-Shaped Blooms,Long-Lasting,Attractive Foliage,Hardy & Adaptable,4-8,"Full Sun, Partial Shade",Widely Adaptable,10 - 15 Feet,8 - 10 Feet,Medium,"Pink, White",Green,Orange,Yes,https://www.naturehills.com/magnolia-x-jane,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/jane-magnolia/jane-magnolia-main-wo-border.jpg,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/jane-magnolia/jane-magnolia-side-view-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/jane-magnolia/jane-magnolia-flower-bunch-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/jane-magnolia/jane-magnolia-bloom-600x600.webp,N/A
3,6,Jane Magnolia,Magnolia x 'Jane',"Beautiful, Fragrant Spring Flowers",Blooms a Bit Later Than Other Magnolias,Reddish-Purple Tulip-Shaped Blooms,Long-Lasting,Attractive Foliage,Hardy & Adaptable,4-8,"Full Sun, Partial Shade",Widely Adaptable,10 - 15 Feet,8 - 10 Feet,Medium,"Pink, White",Green,Orange,Yes,https://www.naturehills.com/magnolia-x-jane,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/jane-magnolia/jane-magnolia-main-wo-border.jpg,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/jane-magnolia/jane-magnolia-side-view-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/jane-magnolia/jane-magnolia-flower-bunch-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/jane-magnolia/jane-magnolia-bloom-600x600.webp,N/A
4,7,Jane Magnolia,Magnolia x 'Jane',"Beautiful, Fragrant Spring Flowers",Blooms a Bit Later Than Other Magnolias,Reddish-Purple Tulip-Shaped Blooms,Long-Lasting,Attractive Foliage,Hardy & Adaptable,4-8,"Full Sun, Partial Shade",Widely Adaptable,10 - 15 Feet,8 - 10 Feet,Medium,"Pink, White",Green,Orange,Yes,https://www.naturehills.com/magnolia-x-jane,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/jane-magnolia/jane-magnolia-main-wo-border.jpg,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/jane-magnolia/jane-magnolia-side-view-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/jane-magnolia/jane-magnolia-flower-bunch-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/jane-magnolia/jane-magnolia-bloom-600x600.webp,N/A
5,8,Jane Magnolia,Magnolia x 'Jane',"Beautiful, Fragrant Spring Flowers",Blooms a Bit Later Than Other Magnolias,Reddish-Purple Tulip-Shaped Blooms,Long-Lasting,Attractive Foliage,Hardy & Adaptable,4-8,"Full Sun, Partial Shade",Widely Adaptable,10 - 15 Feet,8 - 10 Feet,Medium,"Pink, White",Green,Orange,Yes,https://www.naturehills.com/magnolia-x-jane,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/jane-magnolia/jane-magnolia-main-wo-border.jpg,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/jane-magnolia/jane-magnolia-side-view-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/jane-magnolia/jane-magnolia-flower-bunch-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/jane-magnolia/jane-magnolia-bloom-600x600.webp,N/A
6,5,Blue Chinese Wisteria,Wisteria sinensis,One of the World's Most Amazing Flower Displays,Fragrant Flowers,Easy to Grow,Disease Resistant,Drought Tolerant,Beautiful Blue Flowers,5-9,"Full Sun, Partial Shade",Widely Adaptable,10 - 15 Feet,10 - 12 Feet,Fast,Blue,Green,Yellow,Yes,https://www.naturehills.com/blue-chinese-wisteria,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/blue-chinese/blue_chinese_wisteria_tree_cropped.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/blue-chinese/blue-chinese-wisteria-tree-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/blue-chinese/blue_chinese_wisteria_bloooms2.jpg,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/blue-chinese/blue-chinese-wisteria-close-up-600x600.webp,N/A
7,6,Blue Chinese Wisteria,Wisteria sinensis,One of the World's Most Amazing Flower Displays,Fragrant Flowers,Easy to Grow,Disease Resistant,Drought Tolerant,Beautiful Blue Flowers,5-9,"Full Sun, Partial Shade",Widely Adaptable,10 - 15 Feet,10 - 12 Feet,Fast,Blue,Green,Yellow,Yes,https://www.naturehills.com/blue-chinese-wisteria,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/blue-chinese/blue_chinese_wisteria_tree_cropped.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/blue-chinese/blue-chinese-wisteria-tree-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/blue-chinese/blue_chinese_wisteria_bloooms2.jpg,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/blue-chinese/blue-chinese-wisteria-close-up-600x600.webp,N/A
8,7,Blue Chinese Wisteria,Wisteria sinensis,One of the World's Most Amazing Flower Displays,Fragrant Flowers,Easy to Grow,Disease Resistant,Drought Tolerant,Beautiful Blue Flowers,5-9,"Full Sun, Partial Shade",Widely Adaptable,10 - 15 Feet,10 - 12 Feet,Fast,Blue,Green,Yellow,Yes,https://www.naturehills.com/blue-chinese-wisteria,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/blue-chinese/blue_chinese_wisteria_tree_cropped.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/blue-chinese/blue-chinese-wisteria-tree-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/blue-chinese/blue_chinese_wisteria_bloooms2.jpg,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/blue-chinese/blue-chinese-wisteria-close-up-600x600.webp,N/A
9,8,Blue Chinese Wisteria,Wisteria sinensis,One of the World's Most Amazing Flower Displays,Fragrant Flowers,Easy to Grow,Disease Resistant,Drought Tolerant,Beautiful Blue Flowers,5-9,"Full Sun, Partial Shade",Widely Adaptable,10 - 15 Feet,10 - 12 Feet,Fast,Blue,Green,Yellow,Yes,https://www.naturehills.com/blue-chinese-wisteria,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/blue-chinese/blue_chinese_wisteria_tree_cropped.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/blue-chinese/blue-chinese-wisteria-tree-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/blue-chinese/blue_chinese_wisteria_bloooms2.jpg,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/blue-chinese/blue-chinese-wisteria-close-up-600x600.webp,N/A
10,9,Blue Chinese Wisteria,Wisteria sinensis,One of the World's Most Amazing Flower Displays,Fragrant Flowers,Easy to Grow,Disease Resistant,Drought Tolerant,Beautiful Blue Flowers,5-9,"Full Sun, Partial Shade",Widely Adaptable,10 - 15 Feet,10 - 12 Feet,Fast,Blue,Green,Yellow,Yes,https://www.naturehills.com/blue-chinese-wisteria,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/blue-chinese/blue_chinese_wisteria_tree_cropped.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/blue-chinese/blue-chinese-wisteria-tree-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/blue-chinese/blue_chinese_wisteria_bloooms2.jpg,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/blue-chinese/blue-chinese-wisteria-close-up-600x600.webp,N/A
