ID,growing zone,tree name,botanical name,overview description,sun preference,soil preference,mature height,mature spread,growth speed,flower color,foliage color,fall color,pollinator friendly,outgoing link,main_tree_image,tree_image_1,tree_image_2,tree_image_3,tree_image_4
1,4,Jane Magnolia Tree,Magnolia x 'Jane',"<ul>
<li>Beautiful, Fragrant Spring Flowers</li>
<li>Small Tree or Large Hedge</li>
<li>Blooms a Bit Later Than Other Magnolias</li>
<li>Long-Lasting</li>
<li>Reddish-Purple Tulip-Shaped Blooms</li>
<li>Hardy & Adaptable</li>
<li>Care-Free</li>
<li>Attractive Foliage</li>
<li>Specimen Plant or Privacy Hedge!</li>
</ul>","Full Sun, Partial Shade",Widely Adaptable,10 - 15 Feet,8 - 10 Feet,Medium,"Pink, White",Green,Orange,Yes,https://www.naturehills.com/magnolia-x-jane,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/jane-magnolia/jane-magnolia-tree-near-a-house-425x425_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/jane-magnolia/jane-magnolia-side-view-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/jane-magnolia/jane-magnolia-flower-bunch-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/jane-magnolia/jane-magnolia-bloom-600x600.webp,N/A
2,5,Jane Magnolia Tree,Magnolia x 'Jane',"<ul>
<li>Beautiful, Fragrant Spring Flowers</li>
<li>Small Tree or Large Hedge</li>
<li>Blooms a Bit Later Than Other Magnolias</li>
<li>Long-Lasting</li>
<li>Reddish-Purple Tulip-Shaped Blooms</li>
<li>Hardy & Adaptable</li>
<li>Care-Free</li>
<li>Attractive Foliage</li>
<li>Specimen Plant or Privacy Hedge!</li>
</ul>","Full Sun, Partial Shade",Widely Adaptable,10 - 15 Feet,8 - 10 Feet,Medium,"Pink, White",Green,Orange,Yes,https://www.naturehills.com/magnolia-x-jane,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/jane-magnolia/jane-magnolia-tree-near-a-house-425x425_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/jane-magnolia/jane-magnolia-side-view-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/jane-magnolia/jane-magnolia-flower-bunch-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/jane-magnolia/jane-magnolia-bloom-600x600.webp,N/A
3,6,Jane Magnolia Tree,Magnolia x 'Jane',"<ul>
<li>Beautiful, Fragrant Spring Flowers</li>
<li>Small Tree or Large Hedge</li>
<li>Blooms a Bit Later Than Other Magnolias</li>
<li>Long-Lasting</li>
<li>Reddish-Purple Tulip-Shaped Blooms</li>
<li>Hardy & Adaptable</li>
<li>Care-Free</li>
<li>Attractive Foliage</li>
<li>Specimen Plant or Privacy Hedge!</li>
</ul>","Full Sun, Partial Shade",Widely Adaptable,10 - 15 Feet,8 - 10 Feet,Medium,"Pink, White",Green,Orange,Yes,https://www.naturehills.com/magnolia-x-jane,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/jane-magnolia/jane-magnolia-tree-near-a-house-425x425_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/jane-magnolia/jane-magnolia-side-view-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/jane-magnolia/jane-magnolia-flower-bunch-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/jane-magnolia/jane-magnolia-bloom-600x600.webp,N/A
4,7,Jane Magnolia Tree,Magnolia x 'Jane',"<ul>
<li>Beautiful, Fragrant Spring Flowers</li>
<li>Small Tree or Large Hedge</li>
<li>Blooms a Bit Later Than Other Magnolias</li>
<li>Long-Lasting</li>
<li>Reddish-Purple Tulip-Shaped Blooms</li>
<li>Hardy & Adaptable</li>
<li>Care-Free</li>
<li>Attractive Foliage</li>
<li>Specimen Plant or Privacy Hedge!</li>
</ul>","Full Sun, Partial Shade",Widely Adaptable,10 - 15 Feet,8 - 10 Feet,Medium,"Pink, White",Green,Orange,Yes,https://www.naturehills.com/magnolia-x-jane,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/jane-magnolia/jane-magnolia-tree-near-a-house-425x425_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/jane-magnolia/jane-magnolia-side-view-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/jane-magnolia/jane-magnolia-flower-bunch-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/jane-magnolia/jane-magnolia-bloom-600x600.webp,N/A
5,8,Jane Magnolia Tree,Magnolia x 'Jane',"<ul>
<li>Beautiful, Fragrant Spring Flowers</li>
<li>Small Tree or Large Hedge</li>
<li>Blooms a Bit Later Than Other Magnolias</li>
<li>Long-Lasting</li>
<li>Reddish-Purple Tulip-Shaped Blooms</li>
<li>Hardy & Adaptable</li>
<li>Care-Free</li>
<li>Attractive Foliage</li>
<li>Specimen Plant or Privacy Hedge!</li>
</ul>","Full Sun, Partial Shade",Widely Adaptable,10 - 15 Feet,8 - 10 Feet,Medium,"Pink, White",Green,Orange,Yes,https://www.naturehills.com/magnolia-x-jane,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/jane-magnolia/jane-magnolia-tree-near-a-house-425x425_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/jane-magnolia/jane-magnolia-side-view-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/jane-magnolia/jane-magnolia-flower-bunch-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/jane-magnolia/jane-magnolia-bloom-600x600.webp,N/A
6,5,Blue Chinese Wisteria Tree,Wisteria sinensis,"<ul>
<li>One of the World's Most Amazing Flower Displays</li>
<li>Fragrant Flowers</li>
<li>Easy to Grow</li>
<li>Disease Resistant</li>
<li>Drought Tolerant</li>
<ul>","Full Sun, Partial Shade",Widely Adaptable,10 - 15 Feet,10 - 12 Feet,Fast,Blue,Green,Yellow,Yes,https://www.naturehills.com/blue-chinese-wisteria,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/blue-chinese/blue_chinese_wisteria_tree_cropped.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/blue-chinese/blue-chinese-wisteria-tree-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/blue-chinese/blue_chinese_wisteria_bloooms2.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/blue-chinese/blue-chinese-wisteria-close-up-600x600.webp,N/A
7,6,Blue Chinese Wisteria Tree,Wisteria sinensis,"<ul>
<li>One of the World's Most Amazing Flower Displays</li>
<li>Fragrant Flowers</li>
<li>Easy to Grow</li>
<li>Disease Resistant</li>
<li>Drought Tolerant</li>
<ul>","Full Sun, Partial Shade",Widely Adaptable,10 - 15 Feet,10 - 12 Feet,Fast,Blue,Green,Yellow,Yes,https://www.naturehills.com/blue-chinese-wisteria,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/blue-chinese/blue_chinese_wisteria_tree_cropped.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/blue-chinese/blue-chinese-wisteria-tree-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/blue-chinese/blue_chinese_wisteria_bloooms2.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/blue-chinese/blue-chinese-wisteria-close-up-600x600.webp,N/A
8,7,Blue Chinese Wisteria Tree,Wisteria sinensis,"<ul>
<li>One of the World's Most Amazing Flower Displays</li>
<li>Fragrant Flowers</li>
<li>Easy to Grow</li>
<li>Disease Resistant</li>
<li>Drought Tolerant</li>
<ul>","Full Sun, Partial Shade",Widely Adaptable,10 - 15 Feet,10 - 12 Feet,Fast,Blue,Green,Yellow,Yes,https://www.naturehills.com/blue-chinese-wisteria,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/blue-chinese/blue_chinese_wisteria_tree_cropped.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/blue-chinese/blue-chinese-wisteria-tree-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/blue-chinese/blue_chinese_wisteria_bloooms2.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/blue-chinese/blue-chinese-wisteria-close-up-600x600.webp,N/A
9,8,Blue Chinese Wisteria Tree,Wisteria sinensis,"<ul>
<li>One of the World's Most Amazing Flower Displays</li>
<li>Fragrant Flowers</li>
<li>Easy to Grow</li>
<li>Disease Resistant</li>
<li>Drought Tolerant</li>
<ul>","Full Sun, Partial Shade",Widely Adaptable,10 - 15 Feet,10 - 12 Feet,Fast,Blue,Green,Yellow,Yes,https://www.naturehills.com/blue-chinese-wisteria,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/blue-chinese/blue_chinese_wisteria_tree_cropped.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/blue-chinese/blue-chinese-wisteria-tree-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/blue-chinese/blue_chinese_wisteria_bloooms2.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/blue-chinese/blue-chinese-wisteria-close-up-600x600.webp,N/A
10,9,Blue Chinese Wisteria Tree,Wisteria sinensis,"<ul>
<li>One of the World's Most Amazing Flower Displays</li>
<li>Fragrant Flowers</li>
<li>Easy to Grow</li>
<li>Disease Resistant</li>
<li>Drought Tolerant</li>
<ul>","Full Sun, Partial Shade",Widely Adaptable,10 - 15 Feet,10 - 12 Feet,Fast,Blue,Green,Yellow,Yes,https://www.naturehills.com/blue-chinese-wisteria,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/blue-chinese/blue_chinese_wisteria_tree_cropped.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/blue-chinese/blue-chinese-wisteria-tree-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/blue-chinese/blue_chinese_wisteria_bloooms2.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/blue-chinese/blue-chinese-wisteria-close-up-600x600.webp,N/A
